id,race,age,sex,marital,satjob,hapmar,life,postlife,educ,degree,paeduc,maeduc,speduc,income,health,hompop,agewed,sibs,paeindex,educindx,maeindex
1114,1,29,1,5,3,NA,2,1,16,1,NA,12,NA,10,3,1,NA,6,NA,2,2
1115,1,35,2,1,3,2,2,1,12,1,4,8,8,8,3,5,22,1,1,2,1
1116,1,27,1,1,1,2,1,1,11,0,11,11,12,10,1,4,20,4,1,1,1
1117,1,70,2,1,1,1,2,1,12,1,NA,NA,9,NA,4,2,27,3,NA,2,NA
1118,1,70,1,2,NA,NA,1,1,12,1,3,8,NA,17,3,1,25,1,1,2,1
1119,1,34,2,1,2,2,1,1,12,1,11,10,12,15,3,3,18,3,1,2,1
1120,1,55,1,1,NA,1,2,1,12,1,8,8,12,12,4,3,26,6,1,2,1
1121,1,47,1,1,3,2,1,1,12,1,8,8,12,15,1,3,19,5,1,2,1
1122,1,66,2,2,2,NA,1,1,10,0,NA,NA,NA,13,1,1,19,7,NA,1,NA
1123,1,36,2,1,1,1,1,1,12,1,11,12,12,12,2,4,20,3,1,2,2
1124,1,47,2,2,1,NA,1,1,12,1,13,12,NA,10,2,2,18,7,2,2,2
1125,1,23,1,5,2,NA,1,1,12,1,11,12,NA,8,1,1,NA,3,1,2,2
1126,1,29,1,3,1,NA,1,1,12,1,12,12,NA,17,2,1,20,1,2,2,2
1127,1,81,2,2,NA,NA,2,1,5,0,6,6,NA,6,3,1,19,1,1,1,1
1128,1,34,2,1,2,1,2,1,9,0,3,NA,10,12,4,4,21,9,1,1,NA
1129,1,58,2,1,1,1,1,1,14,1,8,12,8,12,2,2,21,10,1,2,2
1130,1,72,2,5,NA,NA,2,2,12,1,NA,NA,NA,8,2,1,NA,6,NA,2,NA
1131,1,27,2,1,1,1,2,NA,8,0,7,NA,12,NA,3,4,16,9,1,1,NA
1132,1,21,1,1,2,1,1,1,12,1,12,8,12,12,2,2,20,3,2,2,1
1133,1,19,1,5,3,NA,1,2,10,0,NA,12,NA,NA,2,2,NA,0,NA,1,2
1134,1,58,1,1,1,1,1,2,17,3,5,12,14,17,1,2,21,1,1,2,2
1135,1,61,1,3,NA,NA,2,1,12,0,NA,8,NA,NA,3,2,17,12,NA,2,1
1136,1,67,1,1,2,1,1,1,12,1,8,5,8,17,2,2,21,4,1,2,1
1137,1,66,1,1,1,1,2,2,12,1,NA,16,12,9,2,3,22,3,NA,2,2
1138,1,85,2,1,NA,1,3,2,12,1,8,12,12,NA,3,2,34,1,1,2,2
1139,1,62,2,1,1,1,1,1,14,1,8,12,12,11,1,4,21,1,1,2,2
1140,1,41,1,1,2,1,2,1,13,1,8,8,12,16,2,5,23,6,1,2,1
1141,1,45,2,1,2,1,1,1,12,1,4,12,12,16,2,6,18,4,1,2,2
1142,1,74,1,1,1,2,3,1,8,0,NA,NA,8,11,3,2,43,6,NA,1,NA
1143,1,50,2,1,4,1,2,2,12,1,8,8,12,15,4,2,18,3,1,2,1
1144,1,42,2,1,1,2,2,1,9,0,8,8,7,9,3,4,17,3,1,1,1
1145,1,30,1,1,2,1,2,2,12,1,NA,9,12,12,2,6,19,5,NA,2,1
1146,1,40,2,1,2,2,2,1,20,4,12,13,16,NA,2,2,22,1,2,2,2
1147,1,59,2,1,1,1,2,1,12,1,6,12,12,15,4,3,19,11,1,2,2
1148,1,25,1,4,1,NA,1,1,12,1,12,10,NA,10,1,2,18,3,2,2,1
1149,1,76,2,2,NA,NA,2,1,12,1,5,8,NA,14,2,1,33,2,1,2,1
1150,1,32,2,1,2,2,1,1,13,1,8,8,14,14,1,2,30,1,1,2,1
1151,1,29,1,1,2,2,2,1,16,3,18,12,14,15,2,4,24,5,2,2,2
1152,1,53,2,1,2,1,2,1,12,1,4,5,16,NA,2,5,18,13,1,2,1
1153,1,24,2,1,3,1,1,1,12,1,12,12,12,11,1,5,17,2,2,2,2
1154,1,57,1,1,1,1,1,1,10,0,6,8,8,17,2,2,22,6,1,1,1
1155,1,60,1,5,1,NA,2,1,12,1,8,13,NA,17,1,2,NA,4,1,2,2
1156,1,52,1,1,2,2,2,1,12,0,8,8,13,10,2,2,22,3,1,2,1
1157,1,61,1,5,2,NA,1,2,12,1,5,8,NA,8,3,2,NA,2,1,2,1
1158,1,72,2,5,NA,NA,2,1,12,1,6,6,NA,7,2,1,NA,7,1,2,1
1159,1,67,2,1,1,2,1,NA,12,1,13,NA,12,10,2,3,19,6,2,2,NA
1160,1,89,2,2,NA,NA,2,1,8,0,6,7,NA,NA,3,2,17,6,1,1,1
1161,1,23,2,5,1,NA,1,1,16,3,16,16,NA,2,1,1,NA,3,2,2,2
1162,NA,45,2,1,1,1,2,1,12,1,3,12,12,12,3,5,17,1,1,2,2
1163,1,60,1,2,2,NA,2,1,12,1,8,8,NA,9,2,1,23,12,1,2,1
1164,1,55,1,1,1,1,1,1,16,3,8,12,13,17,1,2,22,2,1,2,2
1165,1,80,2,2,1,NA,2,1,14,1,8,8,NA,14,2,1,27,2,1,2,1
1166,1,27,2,1,2,1,2,NA,12,1,12,12,12,11,1,5,16,4,2,2,2
1167,1,36,2,3,3,NA,2,1,16,3,12,12,NA,13,3,1,20,0,2,2,2
1168,1,45,2,1,1,1,2,1,8,0,8,8,8,10,3,2,17,10,1,1,1
1169,1,79,2,2,1,NA,2,1,8,0,3,8,NA,10,3,1,35,0,1,1,1
1170,1,68,2,1,1,1,2,1,13,1,NA,8,8,NA,4,2,20,1,NA,2,1
1171,1,81,2,2,2,NA,1,1,12,1,7,4,NA,7,2,1,19,4,1,2,1
1172,1,41,2,1,1,2,2,1,13,1,17,13,13,17,2,3,19,2,2,2,2
1173,1,83,2,2,1,NA,2,1,8,0,8,8,NA,NA,3,1,32,9,1,1,1
1174,1,62,2,1,1,1,2,1,16,1,8,8,8,14,3,2,24,5,1,2,1
1175,1,80,2,1,1,1,1,1,8,0,8,8,12,NA,2,2,20,7,1,1,1
1176,1,42,2,1,2,1,1,1,12,1,12,12,14,11,1,6,22,3,2,2,2
1177,1,65,1,1,NA,1,1,1,12,1,NA,12,12,NA,2,2,24,2,NA,2,2
1178,1,55,2,1,1,2,2,1,12,1,12,12,9,9,3,1,19,2,2,2,2
1179,1,33,2,1,2,1,2,NA,12,1,8,12,12,10,2,3,20,2,1,2,2
1180,1,45,2,1,2,2,2,2,12,1,12,NA,12,14,2,3,21,4,2,2,NA
1181,1,49,2,1,1,1,1,1,12,1,8,10,12,9,2,3,19,5,1,2,1
1182,1,35,2,1,1,1,1,1,14,1,12,12,14,NA,1,4,21,2,2,2,2
1183,1,35,1,5,1,NA,1,1,16,3,6,8,NA,12,1,1,NA,2,1,2,1
1184,1,42,2,1,1,1,2,1,16,3,9,10,16,14,2,5,23,1,1,2,1
1185,1,87,2,2,2,NA,2,1,10,0,NA,NA,NA,NA,3,1,23,3,NA,1,NA
1186,1,67,1,1,NA,1,2,1,13,1,7,8,12,14,1,2,22,6,1,2,1
1187,1,26,2,1,1,2,2,1,14,1,12,12,17,15,3,4,17,3,2,2,2
1188,1,58,1,1,2,3,1,1,20,3,8,8,16,16,1,2,27,2,1,2,1
1189,1,52,2,1,3,2,2,2,12,1,8,8,10,11,1,2,19,7,1,2,1
1190,1,19,2,5,3,NA,1,1,13,1,12,12,NA,13,1,3,NA,3,2,2,2
1191,1,25,1,5,1,NA,1,1,11,0,10,10,NA,15,3,1,NA,4,1,1,1
1192,1,28,2,1,1,1,1,NA,12,1,13,12,12,12,1,5,16,2,2,2,2
1193,1,51,1,1,2,1,2,1,12,1,8,14,12,15,1,4,21,4,1,2,2
1194,1,27,1,5,2,NA,2,1,12,1,10,15,NA,15,2,1,NA,2,1,2,2
1195,1,71,2,2,NA,NA,2,2,12,1,8,8,NA,3,1,1,18,4,1,2,1
1196,1,23,2,3,2,NA,1,1,12,1,8,12,NA,5,2,3,18,4,1,2,2
1197,1,51,2,1,1,1,1,1,12,1,10,10,12,16,1,2,19,1,1,2,1
1198,1,31,1,1,2,1,1,2,12,1,12,12,12,11,2,4,24,1,2,2,2
1199,1,25,2,5,1,NA,NA,1,13,1,11,12,NA,17,1,4,NA,5,1,2,2
1200,1,33,2,3,1,NA,2,1,13,1,14,14,NA,1,3,3,NA,1,2,2,2
1201,1,20,1,5,2,NA,2,2,14,1,NA,10,NA,NA,2,1,NA,3,NA,2,1
1202,1,21,2,1,3,1,2,1,13,1,12,12,12,13,3,3,19,3,2,2,2
1203,1,37,2,1,1,2,2,1,12,1,10,12,12,15,2,4,18,4,1,2,2
1204,1,37,2,1,2,2,1,1,12,1,8,12,12,NA,2,4,19,3,1,2,2
1205,1,31,1,1,1,2,2,1,12,1,NA,13,14,5,2,3,26,4,NA,2,2
1206,1,73,2,2,1,NA,1,1,12,1,8,8,NA,9,1,1,NA,5,1,2,1
1207,1,35,1,1,2,2,1,1,15,1,11,8,12,NA,2,3,24,3,1,2,1
1208,1,23,1,1,2,2,2,NA,12,1,14,12,12,11,2,4,18,2,2,2,2
1209,1,58,1,1,4,2,2,1,11,0,NA,8,12,13,3,3,26,9,NA,1,1
1210,1,40,2,1,2,1,2,1,12,1,12,12,14,15,2,3,16,1,2,2,2
1211,1,23,2,5,1,NA,1,1,17,3,16,12,NA,NA,1,1,NA,8,2,2,2
1212,1,31,2,1,1,1,2,2,12,1,12,13,12,13,2,4,21,8,2,2,2
1213,1,62,2,1,1,1,1,1,12,1,8,8,12,15,2,3,24,7,1,2,1
1214,1,74,2,2,4,NA,2,1,10,0,8,5,NA,7,2,1,NA,4,1,1,1
1215,1,70,2,1,1,2,1,1,12,1,NA,NA,12,NA,2,2,28,8,NA,2,NA
1216,1,59,1,1,2,1,1,1,19,3,10,15,16,16,1,2,29,1,1,2,2
1217,1,53,1,1,1,2,2,2,11,1,8,14,12,15,2,4,25,5,1,1,2
1218,1,21,1,5,1,NA,2,1,12,1,12,12,NA,9,2,1,NA,5,2,2,2
1219,1,59,2,3,1,NA,1,1,12,1,4,8,NA,9,2,1,18,3,1,2,1
1220,1,64,1,3,NA,NA,2,1,12,1,NA,8,NA,10,3,1,39,6,NA,2,1
1221,1,37,1,1,2,1,1,1,13,1,NA,12,12,17,2,3,22,2,NA,2,2
1222,1,40,2,3,2,NA,2,1,12,1,12,12,NA,13,1,2,20,3,2,2,2
1223,1,34,2,3,NA,NA,1,1,10,1,8,12,NA,6,1,3,18,12,1,1,2
1224,1,32,1,1,2,2,2,NA,19,4,12,16,12,13,2,4,24,2,2,2,2
1225,1,54,1,5,2,NA,1,1,7,0,8,8,NA,1,4,1,NA,8,1,1,1
1226,1,23,2,1,3,1,1,1,10,0,NA,12,12,9,3,3,20,3,NA,1,2
1227,1,68,1,1,1,3,1,1,7,0,0,8,8,11,2,1,18,8,NA,1,1
1228,1,33,2,1,2,2,2,1,12,1,6,12,9,12,2,5,18,6,1,2,2
1229,1,24,1,5,4,NA,3,1,12,1,8,8,NA,10,2,1,NA,1,1,2,1
1230,1,48,1,1,1,2,2,1,12,1,0,8,19,16,2,3,22,6,NA,2,1
1231,1,23,1,1,1,1,1,1,14,1,NA,NA,15,12,2,2,20,2,NA,2,NA
1232,1,41,1,1,1,2,2,1,11,0,NA,NA,12,13,3,6,23,5,NA,1,NA
1233,1,36,2,1,4,1,2,1,8,0,0,5,10,10,2,4,18,13,NA,1,1
1234,1,29,2,1,1,1,1,1,10,0,NA,3,12,11,2,5,17,5,NA,1,1
1235,1,52,1,1,NA,2,3,NA,6,0,0,5,11,8,4,2,18,7,NA,1,1
1236,1,47,2,1,3,1,1,1,12,1,10,10,12,15,2,2,18,7,1,2,1
1237,1,57,2,1,1,1,1,1,8,0,NA,NA,8,NA,2,3,20,4,NA,1,NA
